n_subject,coef_type,rho_true,bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_abs_error_mean,sigma2_abs_error_std,rho_abs_error_mean,rho_abs_error_std,Sigma_fro_error_mean,Sigma_fro_error_std,best_bandwidth_mean,best_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std
1000,sqrt,0.0,fixed,30,30,0,0.04346280418473869,0.0026324029718508934,0.05678447183388575,0.003189998147200597,0.020656607215034498,0.0078071322867704586,0.02269687960798322,0.008700269736285383,0.04346473788684816,0.002635267745287227,0.05681293260462412,0.0031844160989640447,0.0206525367024088,0.007831123359940675,0.02268973834699155,0.008721744792135434,0.059959003200647495,0.03431416070134132,0.016704138576371666,0.014362037550335957,0.09158217427741876,0.04471927398698562,0.12999999999999998,2.7755575615628914e-17,35.78322186950439,0.4080679504488638
1000,sqrt,0.3,fixed,30,30,0,0.045493676767771656,0.0032591311437324267,0.05990209034162925,0.004669405041167326,0.02034087111004119,0.008902667281752106,0.02389461262135607,0.01073364726063355,0.04362868313593966,0.003058146083221386,0.05743427690033728,0.004246603372585967,0.020620393212884218,0.00892004033065399,0.024100121006738837,0.010604569232122442,0.06164780277263277,0.03345607510859325,0.03384847607285752,0.02242396270284483,0.1099001031801539,0.04972048779563044,0.12999999999999998,2.7755575615628914e-17,41.673469225065006,4.559494839359594
1000,sqrt,0.6,fixed,30,30,0,0.04526906873628014,0.003343956917951006,0.059525507162554454,0.004829455256469459,0.0222903718206433,0.009847238600503995,0.02625726781682872,0.011928704442123244,0.0368942322855704,0.0026047491282164335,0.04867648452383835,0.003558892590964414,0.022831067932147776,0.009866485664116301,0.02668131539726522,0.01176093277258686,0.061052290263575594,0.03671244560047103,0.03076125851800203,0.022048418060699196,0.1261054197293221,0.06935696810041489,0.12999999999999998,2.7755575615628914e-17,35.6430970763516,2.9480502936591453
1000,sqrt,0.9,fixed,30,30,0,0.044764331700631516,0.003366432867818426,0.058806139058908045,0.004872394214480504,0.023994776605185727,0.010696344426049414,0.028333346277831135,0.013059920044162022,0.020688298481146252,0.0014085762987253738,0.027468478736274716,0.001963080970245282,0.024669236069858477,0.010733920204763443,0.028946464923065452,0.012794054416758781,0.06222602816254415,0.040917633904450475,0.0415094733126129,0.00968129944922232,0.15849921535530506,0.08266473535936437,0.12999999999999998,2.7755575615628914e-17,36.038416570898455,1.266524992737654
2000,bump,0.0,fixed,30,30,0,0.03450901538762217,0.0020965756314062617,0.044546514910139015,0.0024338784545715497,0.014457094920831056,0.005937729016248888,0.016069744640331295,0.006326149322426112,0.034495588242226066,0.002094152771264327,0.04454001035371228,0.0024215627547248576,0.014469207604752758,0.005949373538367957,0.016081814723345515,0.006340456912211205,0.025065246766212197,0.01691343160182741,0.023146864185128454,0.0161558313985189,0.05306238395291683,0.023027497462188306,0.12999999999999998,2.7755575615628914e-17,119.29756534723565,1.2964670835850933
2000,bump,0.3,fixed,30,30,0,0.03484923759142307,0.002045681968553888,0.044540808791364336,0.002740767930911976,0.018376384032945694,0.007934022801095123,0.020640274060285346,0.008820370524838606,0.03359724558694992,0.0019988181015134893,0.043025940055457186,0.0026480183029586823,0.018288192840878837,0.007805023526243486,0.020549713625126264,0.008705032023061138,0.026837655113805352,0.018496758445709673,0.020285397667424543,0.016302477156241224,0.05491642112100568,0.03479199918844053,0.12999999999999998,2.7755575615628914e-17,120.598378699983,1.4193704980293136
2000,bump,0.6,fixed,30,30,0,0.034770466209252164,0.002087276083636343,0.04443604627069444,0.0027846303704223653,0.020305016679372196,0.008817957467038834,0.022868005403361973,0.009794134092330105,0.029487759321659663,0.001777574108283641,0.037770344710825486,0.0022993029824818034,0.020054699021466126,0.008532533949749326,0.022633916199605617,0.00952696978311534,0.029672211860813247,0.021362806282726594,0.022358458777724407,0.01496736960670677,0.06935295480517742,0.04558429105432141,0.12999999999999998,2.7755575615628914e-17,120.74754757781436,1.1307123042030254
2000,bump,0.9,fixed,30,30,0,0.034652923317709035,0.002113213057513372,0.044310581939085575,0.002789936838054591,0.022025992509768267,0.009640932650825931,0.024887988305719755,0.010690912126264334,0.020351554499636534,0.0010886853749673454,0.026181658160302292,0.0012759066950306073,0.02158501402374716,0.009148954680110536,0.024464178287016466,0.010268540981523827,0.03339667500813007,0.024203325419131557,0.02836077962518334,0.00542911077588917,0.09051961794624981,0.051669347668231065,0.12999999999999998,2.7755575615628914e-17,120.36928336250519,1.1171953876266998
2000,quadratic,0.0,fixed,30,30,0,0.03164381779238143,0.0021084998545454503,0.04126229394508379,0.0026266044430057773,0.014340377841518374,0.006098158908530437,0.0159807991456852,0.006427693848601625,0.031635722673875995,0.0020946904374534573,0.04125257248349441,0.002598061990781391,0.014352077916185091,0.006109044601850355,0.01599489748024435,0.006438208625363508,0.028825444805415563,0.017578691347699946,0.023431099211713782,0.015488025464463822,0.0568433209523989,0.02318418050966453,0.12999999999999998,2.7755575615628914e-17,146.09474985132692,2.30216316751439
2000,quadratic,0.3,fixed,30,30,0,0.031008620378209107,0.0019811159680087355,0.04036499243806075,0.002866499052709662,0.01838886551596984,0.008158499854307437,0.020725529611477524,0.009147556961931315,0.029669397046511992,0.0020600116426517023,0.03862727408575139,0.0029399529901969067,0.018308175557418725,0.008039692504605015,0.02064543073103849,0.009039864936136214,0.030440733403856116,0.018937870875127296,0.020352199973208505,0.01598984407162185,0.0593383831957338,0.034601022924971074,0.12999999999999998,2.7755575615628914e-17,133.6189301720898,12.689535767678976
