n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,a_eval_mode,a_eval_selected_points,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
5000,base2,0,123,1,,3795.5173206590116,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.6,-0.07265490421286536,0.019989988996314014,0.02517832633208073,0.006205722750661544,0.006517768572875849,0.01796957185816507,0.022718048562109242,0.0036729343101037787,0.005281561014950437,0.04812391956887788,0.05507990465909847,0.07265490421286536,
5000,base2,0,123,1,,3663.7225590720773,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin2,anchor_grid,500,0.9,-0.10760068241961906,0.019983463296814864,0.025226367550699427,0.006837504496160718,0.0072174410293982015,0.0146273705074665,0.018773603847410423,0.004569360377794776,0.0061804830063430785,0.04841187751586694,0.05475860806518932,0.10760068241961906,
2000,base3,0,123,1,,2758.6956427759724,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.0,-0.008607509052741562,0.05320143131419339,0.06735032978420827,0.02817914686490411,0.029082662809683957,0.054522158398773876,0.06897455004715759,0.025682184976608846,0.026394670353550656,0.17969236186610704,0.2203790592270211,0.008607509052741562,
2000,base3,0,123,1,,2146.0075569610344,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.3,-0.12145975705082496,0.05257209694284106,0.06722493091529706,0.029803547608546796,0.03685927239605196,0.05297001957558653,0.06760410557313194,0.03074589512928322,0.03660149237491284,0.16769886566483536,0.201760841947629,0.12145975705082496,
2000,base3,0,123,1,,2768.8164608189836,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.2508016533600878,0.05294707909344187,0.06771094049539127,0.031741710533388506,0.04061521834497111,0.051334487695259105,0.06532310154757907,0.03355073340301171,0.04048187665542728,0.17131927275786724,0.2035479677290818,0.2508016533600878,
2000,base3,0,123,1,,2391.760044542956,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.9,-0.38092531728399226,0.05353165529351616,0.06834662824388024,0.03324332413281113,0.04435356211939981,0.048356026344655835,0.061117771514576216,0.03552375177154653,0.044115851328759566,0.1754041793126969,0.2066417630087728,0.38092531728399226,
5000,base3,0,123,1,,4784.0680110590765,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.0,-0.011463855445164671,0.043086960847498884,0.053175572184623106,0.010084176546493379,0.012103066028934207,0.04422477655323261,0.054834013392293775,0.009014063151478707,0.011172849232273997,0.23776632349712223,0.2773668849760484,0.011463855445164671,
5000,base3,0,123,1,,7392.498209735029,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.3,-0.10091156668326812,0.043314230501332755,0.053515389069865145,0.0038992514543009504,0.004513356824174035,0.04416539729948638,0.054806663000208124,0.003084114258005019,0.003438190705551337,0.24150275482767702,0.28001427625531466,0.10091156668326812,
5000,base3,0,123,1,,7510.1898314959835,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.19647480742787538,0.0433149925499953,0.053578341571518875,0.0047302981134936944,0.005382096421536986,0.0430987494341179,0.05360368949307246,0.003910148612538897,0.0043402020283479495,0.2432779615409332,0.281575383323199,0.19647480742787538,
5000,base3,0,123,1,,6251.182600004016,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.9,-0.29151265523931225,0.043264852129468456,0.05362704092805163,0.0056727343210418585,0.006341655938689423,0.04093147856248207,0.051363659659146396,0.005081669336973654,0.005728611244706678,0.24529150791267934,0.28345665835979494,0.29151265523931225,
2000,base3,0,123,1,,1305.9237765856087,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.0,-0.01103529449946113,0.052406859743464665,0.06579566675215479,0.027208507423539585,0.02803191842857192,0.05373179024946027,0.06739626100987652,0.02644194192774646,0.027107254743691998,0.14180317433850062,0.18203590597089775,0.01103529449946113,
2000,base3,0,123,1,,1109.9513142704964,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.3,-0.10955035748750838,0.05192977075404223,0.06579654019773304,0.03137910836293378,0.03803450763988988,0.052286437725953885,0.0661215156999651,0.03016081269164636,0.03629329373707612,0.13071912897688773,0.1750854157645531,0.10955035748750838,
2000,base3,0,123,1,,2313.258262384683,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.6,-0.23672226955100867,0.052268301339447945,0.06622489075515148,0.03338735280272957,0.041679927077382405,0.05062652920300629,0.06388876968582917,0.032848423373051355,0.040108328745311235,0.12818649063306178,0.17456507680753086,0.23672226955100867,
2000,base3,0,123,1,,2324.3050374761224,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.9,-0.36598530096948734,0.05277052419805074,0.06677075561852032,0.03490762118073838,0.04520417006534991,0.04762679544447369,0.059797318717496786,0.03457816580144167,0.04362919557531481,0.127133776845828,0.17433821339004169,0.36598530096948734,
5000,base3,0,123,1,,4973.216295160353,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.0,-0.013495751833641201,0.042910104633046654,0.05296223485029317,0.009251219626375984,0.011116709396585217,0.044166151870124556,0.054687361161779253,0.010174803132344395,0.012133816960003128,0.23435246862433287,0.27499435252336246,0.013495751833641201,
5000,base3,0,123,1,,4999.770970005542,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.3,-0.09714846411655254,0.042935347486675005,0.05303427904736479,0.0035064930777838205,0.004586075872745173,0.04394394262490172,0.05445178049200742,0.0027308525824490115,0.0034080085425548315,0.23221793974476604,0.27584134655263076,0.09714846411655254,
5000,base3,0,123,1,,3824.8343187496066,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.6,-0.1911009810140855,0.04292090117419993,0.053076747832706016,0.004278974124055451,0.005347075093167449,0.04291250229366027,0.05332046785952495,0.003567182532227736,0.004264530159044849,0.23273892583789615,0.2770193166855427,0.1911009810140855,
5000,base3,0,123,1,,4766.836704742163,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.9,-0.2847742501425494,0.04285915067781579,0.05310187545521193,0.005161243957622935,0.006181319566657693,0.04080984418557584,0.05120768380382321,0.004773739042397779,0.005650822712749821,0.23373900248597237,0.2785884333088487,0.2847742501425494,
