variable,variable_type,cfp_beta_hat_std,cfp_bootstrap_se_std,cfp_ci_lower_std,cfp_ci_upper_std,cfp_beta_hat_iop,cfp_bootstrap_se_iop,cfp_ci_lower_iop,cfp_ci_upper_iop,cfp_ci_excludes_zero,cfp_n_success,roi_beta_hat_std,roi_bootstrap_se_std,roi_ci_lower_std,roi_ci_upper_std,roi_beta_hat_iop,roi_bootstrap_se_iop,roi_ci_lower_iop,roi_ci_upper_iop,roi_ci_excludes_zero,roi_n_success,cfp_significant,roi_significant,significant_either_image,significant_in
z_vf_39_mean,vf,-0.5011614711043122,0.4246658046176032,-1.3295283126235862,0.2923417801354356,-2.0943195044687046,1.774649347109177,-5.556007868552574,1.2216763007731468,False,2000,-0.5309438723639198,0.4258949241086421,-1.379966573094222,0.3191856477486737,-2.2187781219886595,1.7797857533810584,-5.766785908696722,1.3338549872030916,False,2000,False,False,False,none
z_vf_40_mean,vf,0.2082892244481101,0.375685854677056,-0.483200897843076,0.9761531658106828,0.8704264203932403,1.5699654869106792,-2.019263497450526,4.079277303583196,False,2000,0.2004395509595702,0.360033740692077,-0.4647273335707818,0.9428742846615088,0.8376231718623129,1.5045563732917155,-1.942063736089643,3.9402071357907,False,2000,False,False,False,none
z_vf_41_mean,vf,-0.2590248862697101,0.3795357163351206,-0.9711900169601732,0.4957877740182647,-1.0824472804385423,1.5860537954197598,-4.058536644054243,2.071863191948077,False,2000,-0.2197114159034195,0.3915812947063748,-0.9805923458997936,0.5901715908402433,-0.9181589771197552,1.6363914434235771,-4.097828333501732,2.4662867058724505,False,2000,False,False,False,none
z_vf_42_mean,vf,0.2515615578019449,0.5683764124929884,-0.785423931409921,1.44275839132591,1.0512585413204791,2.3752061465161045,-3.2822328803602514,6.02918862164651,False,2000,0.1539031543234361,0.5795228809430067,-0.838362537565583,1.4506734855687329,0.6431507537652287,2.42178647566507,-3.5034596940793636,6.062265259034306,False,2000,False,False,False,none
z_vf_43_mean,vf,0.1929696911526284,0.4969597117707543,-0.5827057163907169,1.3454112603836228,0.8064071387246239,2.076760639646229,-2.4350873272707716,5.622381620726708,False,2000,0.1870323945066396,0.5104922317228056,-0.6804554253310294,1.323241468387035,0.7815955821975205,2.1333121147980245,-2.843576674104908,5.529735576556238,False,2000,False,False,False,none
z_vf_44_mean,vf,-0.5263685592368476,0.4486836269192134,-1.3086090441949805,0.4751663653758683,-2.1996582014170225,1.8750181835049344,-5.468587676827328,1.985687735893513,False,2000,-0.5104575162402635,0.4578355017090599,-1.254430438148296,0.4879275546234042,-2.1331670411712853,1.9132632421934976,-5.242178988389106,2.0390158727960563,False,2000,False,False,False,none
z_vf_45_mean,vf,0.2657628838476861,0.3615586975466692,-0.3728924765454597,1.0476341537771567,1.1106049113863548,1.5109290636683486,-1.5582921507871588,4.377991462449011,False,2000,0.2890716267016392,0.3602757028430475,-0.3474060610098081,1.0546764650604536,1.2080105532768084,1.50556751656856,-1.451786163729348,4.407420799553975,False,2000,False,False,False,none
z_vf_46_mean,vf,-0.442926279638494,0.4489420836921236,-1.3304867613034992,0.4254673589449355,-1.8509586230653792,1.876098256678507,-5.560013160020713,1.7779989878106546,False,2000,-0.530986322165455,0.4429699644802177,-1.3817538420032562,0.3347676757751509,-2.218955516805384,1.8511411790305656,-5.774254783204719,1.3989712163958914,False,2000,False,False,False,none
z_vf_47_mean,vf,0.5490562969122889,0.5217299983028718,-0.3784815115723365,1.620595643974175,2.2944687051479775,2.1802739725869698,-1.5816483458317507,6.772358335035887,False,2000,0.5414708403760333,0.5344538035250957,-0.4405324518311122,1.6824321548042551,2.262769601186186,2.2334458842050875,-1.8409549804144547,7.030768883704684,False,2000,False,False,False,none
z_vf_48_mean,vf,0.3531064059268655,0.5237909514893272,-0.6659758970655513,1.3819732100297382,1.475607515190557,2.188886554968212,-2.7830677159939103,5.775171507180937,False,2000,0.2897792251675297,0.5090793469856353,-0.6403217157895532,1.3498300585265033,1.21096755886062,2.127407766133508,-2.675860647383651,5.640847475886229,False,2000,False,False,False,none
