n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,bandwidth_input,bandwidth_method,best_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_abs_error,rho_abs_error,Sigma_fro_error
500,sqrt,16,139,1,,10.21563762507867,0.13,fixed,0.13,1.0,0.3,0.06342827260014454,0.08597066163688666,0.00721737656838406,0.008431014207810948,0.06267297872969742,0.08395881292164493,0.007505054671142819,0.010017164542696183,0.17362063578779874,0.06567745387741475,0.28794693999594884
500,sqrt,17,140,1,,10.310089375008829,0.13,fixed,0.13,1.0,0.3,0.06701614748683571,0.08845566213487088,0.030453582265002943,0.030653473257832534,0.06392764915879845,0.08362591746920786,0.03156043790205687,0.032518216590455916,0.12314723551534623,0.01929693105648378,0.19008761987366257
500,sqrt,18,141,1,,9.971756874932908,0.13,fixed,0.13,1.0,0.3,0.06308876237257029,0.0840923603859149,0.03263222000840327,0.03277177050838774,0.0582935175714893,0.079242618712937,0.02735940296136241,0.027399884441806063,0.13309941335459163,0.03708084456958499,0.18855265047421138
500,sqrt,19,142,1,,9.899252375005744,0.13,fixed,0.13,1.0,0.3,0.06479443287926735,0.09015337303476414,0.019381116972856383,0.021185188501166678,0.06057955204605887,0.08465912749285956,0.020663594018094145,0.02181066755525417,0.15946589318799875,0.07215616461208085,0.2727612124820044
500,sqrt,21,144,1,,9.707858167006634,0.13,fixed,0.13,1.0,0.3,0.0647567913610165,0.08457924840827488,0.04995004144668891,0.051016088170091234,0.061609515430259124,0.08196846063174838,0.05070619917103891,0.05222767337204643,0.20131528548276634,0.09039405580509069,0.3409052670693291
500,sqrt,20,143,1,,9.854359415941872,0.13,fixed,0.13,1.0,0.3,0.05753081534948493,0.07661513714774443,0.01039276351536711,0.01143155045185874,0.05293537315874203,0.07261920628480334,0.006789635789795634,0.009244834625028267,0.031157667512950016,0.025672416485794658,0.04923073863221665
500,sqrt,22,145,1,,10.011041000019759,0.13,fixed,0.13,1.0,0.3,0.07019404908880342,0.08973411430524221,0.03825152296165091,0.04743223197282996,0.06834210099623919,0.08810417830169315,0.031920299328725754,0.04331290113905584,0.1214376125972203,0.011484250900622384,0.17573261752053868
500,sqrt,23,146,1,,9.926177666988224,0.13,fixed,0.13,1.0,0.3,0.07222006623573819,0.09220757730136091,0.041874845330619914,0.042028199345066276,0.07027939112589317,0.08900967852967762,0.040588663303121164,0.04095879840200757,0.17603222662917373,0.09302268821407406,0.3090195923708984
500,sqrt,24,147,1,,9.835630167042837,0.13,fixed,0.13,1.0,0.3,0.07212834039730733,0.09750177344619596,0.02734095162104566,0.03679153609377035,0.06840933199612974,0.09322250719009935,0.029849563474089846,0.038409228799693385,0.08335270192840627,0.004539970097282298,0.12488721246837141
500,sqrt,25,148,1,,10.048855583067052,0.13,fixed,0.13,1.0,0.3,0.0696803128427905,0.08852432791321908,0.051234781880158176,0.06881642845763322,0.06722062391718811,0.08479158438800208,0.05121240673255678,0.06741968987922274,0.09959237880982685,0.03227477364058051,0.1636603147070157
500,sqrt,26,149,1,,9.468755250098184,0.13,fixed,0.13,1.0,0.3,0.06650835265949132,0.08935504981979822,0.0538676073685973,0.05453427033445465,0.0627453347473893,0.08607321383163077,0.05030888153367785,0.051025333925740615,0.15965172197715782,0.07980361790818502,0.27822327165771926
500,sqrt,27,150,1,,9.520512582967058,0.13,fixed,0.13,1.0,0.3,0.05545265728069734,0.07555134413725666,0.05629664538966228,0.05866941852235443,0.055345672795538106,0.07741714173471011,0.05159181844080374,0.054496724948243494,0.12228826020886208,0.003281075447655768,0.1794285789249708
500,sqrt,28,151,1,,9.577878416981548,0.13,fixed,0.13,1.0,0.3,0.07383338130412764,0.09481016619535225,0.06534891668705023,0.06942008523422141,0.07037364290348003,0.09013770733716572,0.0692289535790005,0.07391535870718212,0.08950007258919013,0.029852701937404635,0.1265730813608035
500,sqrt,29,152,1,,9.621057542040944,0.13,fixed,0.13,1.0,0.3,0.06530489616757844,0.08438374253878644,0.02574683501712771,0.027315642633023263,0.06336881114344507,0.08166351490270873,0.02516943757494383,0.026809916058219068,0.11058909339219525,0.006848038615736574,0.16596312885385955
500,sqrt,2,125,1,,9.591663125087507,0.13,fixed,0.13,1.0,0.6,0.07018783764096202,0.09218001126050467,0.019098141495095033,0.02140068965937018,0.06255261133054815,0.08200133924546027,0.014361180159268239,0.01694291833424978,0.13401872976106888,0.04195194909411892,0.25135410740965114
500,sqrt,1,124,1,,9.616139541962184,0.13,fixed,0.13,1.0,0.6,0.06778831451902098,0.08725935476826441,0.03148293808034186,0.03230990412770638,0.0517088912732293,0.06784169675093775,0.03136648516099494,0.031790270122564655,0.08921678325591753,0.015023839280032703,0.15797020676732237
500,sqrt,0,123,1,,9.648816875065677,0.13,fixed,0.13,1.0,0.6,0.06659845970650358,0.08427427920871523,0.016897672916378337,0.02177199182728409,0.05310611371455869,0.0679862235372113,0.017602662348470854,0.020663291725832336,0.08477178745113334,0.04171454130727803,0.17386561721671343
