image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,6,6,1,0.27,34.47,0.3379704781868928,0.39029235395598894,0.05232187576909614,0.18245021981544537,0.012586335089330512,0.7601256785170861,0.95,percentile,500,273,True
roi,1,7,1,2,0.27,34.47,0.09917560408373549,0.15243578529606935,0.05326018121233386,0.1997475982615929,-0.23881032270471284,0.5388604082998492,0.95,percentile,500,273,True
roi,1,8,2,2,0.27,34.47,-0.13121541592081484,-0.14509170884509534,-0.013876292924280498,0.24854056925596868,-0.637667208257106,0.3307978166129644,0.95,percentile,500,273,True
roi,1,9,3,2,0.27,34.47,0.6600541887069449,0.6519414802867263,-0.008112708420218606,0.3045399734437433,0.05708275416128898,1.2530454678292775,0.95,percentile,500,273,True
roi,1,10,4,2,0.27,34.47,-1.0445801578415663,-1.0350136315284881,0.009566526313078194,0.3170635476531231,-1.6419469582536614,-0.4449319307916054,0.95,percentile,500,273,True
roi,1,11,5,2,0.27,34.47,-0.7003318278772784,-0.681336755992211,0.01899507188506744,0.2586889661744496,-1.2192441602217716,-0.18147139136762389,0.95,percentile,500,273,True
roi,1,12,6,2,0.27,34.47,0.4439259647777037,0.45770550685330014,0.013779542075596452,0.16651083445476425,0.12550238069898145,0.7861232575543065,0.95,percentile,500,273,True
roi,1,1,1,1,0.28,35.08,-0.13797674219416922,-0.06375169055312224,0.07422505164104698,0.2658676866378966,-0.5600500356869905,0.4615648497052419,0.95,percentile,500,273,True
roi,1,2,2,1,0.28,35.08,0.29589645739158293,0.23715241605744566,-0.05874404133413727,0.2929523958616795,-0.31275811536774917,0.8110179007001421,0.95,percentile,500,273,True
roi,1,3,3,1,0.28,35.08,-0.03273408328956472,0.010301451891316198,0.043035535180880914,0.23249159182382573,-0.4000682901675119,0.4578254146948037,0.95,percentile,500,273,True
roi,1,4,4,1,0.28,35.08,0.07613793962786974,0.10806540170544635,0.0319274620775766,0.22584196707877066,-0.30108270772073215,0.5757576992306587,0.95,percentile,500,273,True
roi,1,5,5,1,0.28,35.08,-0.09324007939113749,-0.1243079196200108,-0.03106784022887331,0.2096618316096459,-0.5999978142724292,0.23940722939911765,0.95,percentile,500,273,True
roi,1,6,6,1,0.28,35.08,0.34298561571235336,0.3958933841869281,0.052907768474574735,0.18170563933594303,0.02484615213488335,0.769497768028457,0.95,percentile,500,273,True
roi,1,7,1,2,0.28,35.08,0.10407718045618311,0.15645349610378978,0.05237631564760667,0.19700456228461524,-0.22987115238203068,0.5390392359269286,0.95,percentile,500,273,True
roi,1,8,2,2,0.28,35.08,-0.13556759561494147,-0.14737922311775034,-0.011811627502808869,0.24652473350402884,-0.6264485029717335,0.3190043485125768,0.95,percentile,500,273,True
roi,1,9,3,2,0.28,35.08,0.6518048384093196,0.6406020878641415,-0.011202750545178053,0.3023921014587919,0.04302064845512091,1.2326091414239622,0.95,percentile,500,273,True
roi,1,10,4,2,0.28,35.08,-1.0451920564315709,-1.0330257166315975,0.012166339799973391,0.316536998835,-1.6509131732590034,-0.4357263656388598,0.95,percentile,500,273,True
roi,1,11,5,2,0.28,35.08,-0.7132519043016162,-0.6942346451503044,0.019017259151311805,0.25925292054735066,-1.235890647604007,-0.1977197746929451,0.95,percentile,500,273,True
roi,1,12,6,2,0.28,35.08,0.44583159956275575,0.46094930575761706,0.015117706194861302,0.16687946637238296,0.1340440572572529,0.7917281623678645,0.95,percentile,500,273,True
roi,1,1,1,1,0.29,35.69,-0.1300997783693933,-0.05595429892754953,0.07414547944184377,0.2601359925891231,-0.5438446218095699,0.45672198295037936,0.95,percentile,500,273,True
roi,1,2,2,1,0.29,35.69,0.2812756717018187,0.22167049748541792,-0.0596051742164008,0.29141004543058846,-0.32579824385823253,0.803456022964487,0.95,percentile,500,273,True
roi,1,3,3,1,0.29,35.69,-0.025743789099098704,0.018393676622478455,0.04413746572157716,0.2329667401885671,-0.3815733793663525,0.4637817211604428,0.95,percentile,500,273,True
roi,1,4,4,1,0.29,35.69,0.08138381215578841,0.11439900948191443,0.033015197326126025,0.22567219332553454,-0.3024141409532771,0.5794447463826615,0.95,percentile,500,273,True
roi,1,5,5,1,0.29,35.69,-0.1042252903257796,-0.1361893146000846,-0.031964024274305,0.2109416195001602,-0.6050886192114446,0.23861241234131134,0.95,percentile,500,273,True
roi,1,6,6,1,0.29,35.69,0.34767951686269283,0.4012208191375215,0.05354130227482867,0.18122345206079007,0.026073611670915518,0.7756110554719556,0.95,percentile,500,273,True
roi,1,7,1,2,0.29,35.69,0.10898472844767448,0.1604674359622553,0.05148270751458081,0.19445662905687114,-0.21931788694516782,0.5337946400221968,0.95,percentile,500,273,True
roi,1,8,2,2,0.29,35.69,-0.13969584451368747,-0.1494542635496265,-0.00975841903593902,0.24509291638456945,-0.6261744237797462,0.31158293339588017,0.95,percentile,500,273,True
roi,1,9,3,2,0.29,35.69,0.6432399011621162,0.6289878645109624,-0.01425203665115371,0.3007028264840403,0.028902160937188146,1.2120111913613019,0.95,percentile,500,273,True
roi,1,10,4,2,0.29,35.69,-1.0454352362968256,-1.0307073174698194,0.014727918827006192,0.31658673304749224,-1.6518566544207889,-0.42776602384902623,0.95,percentile,500,273,True
roi,1,11,5,2,0.29,35.69,-0.7258303790621129,-0.7067962278727347,0.019034151189378234,0.2603589056177264,-1.2509197904626674,-0.2034332687377955,0.95,percentile,500,273,True
roi,1,12,6,2,0.29,35.69,0.4475688163060875,0.4640154515389713,0.016446635232883755,0.16748188655104196,0.13282461449798677,0.7998079604405461,0.95,percentile,500,273,True
roi,1,1,1,1,0.3,36.3,-0.12243083524553121,-0.048340579584218536,0.07409025566131267,0.25465353898388,-0.5282039296426955,0.4518842205887779,0.95,percentile,500,273,True
roi,1,2,2,1,0.3,36.3,0.2668589326977002,0.20636694686082957,-0.060491985836870654,0.2904543223067756,-0.3403358120943838,0.7927615603463626,0.95,percentile,500,273,True
roi,1,3,3,1,0.3,36.3,-0.018910506212900094,0.026374654928504576,0.04528516114140467,0.23407139654047762,-0.3767206487512164,0.47829911850167006,0.95,percentile,500,273,True
roi,1,4,4,1,0.3,36.3,0.08644675986092944,0.12061868447903416,0.034171924618104726,0.22596235104475304,-0.29366301987438687,0.5834246013555536,0.95,percentile,500,273,True
