image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,6,6,1,0.06,21.66,0.11557127543245252,0.1766227554282471,0.06105147999579458,0.18684570380404794,-0.1951709066844149,0.5519755465225656,0.95,percentile,500,270,True
roi,1,7,1,2,0.06,21.66,-0.08050706397087118,-0.013630411258522422,0.06687665271234876,0.28530846619818,-0.592611905995928,0.5282407345847497,0.95,percentile,500,270,True
roi,1,8,2,2,0.06,21.66,0.12903756772206748,0.07413979643712856,-0.05489777128493892,0.2946913551665663,-0.49189240305783954,0.6054612383008695,0.95,percentile,500,270,True
roi,1,9,3,2,0.06,21.66,0.6361583860903279,0.6577326618708511,0.021574275780523178,0.31200353872535985,0.116031392602504,1.344920968989588,0.95,percentile,500,270,True
roi,1,10,4,2,0.06,21.66,-0.9150540113782056,-0.950961540628067,-0.0359075292498614,0.3351782617821711,-1.6914079508418605,-0.3523300657107646,0.95,percentile,500,270,True
roi,1,11,5,2,0.06,21.66,-0.40352575542859703,-0.43426505537565374,-0.03073929994705671,0.27371507443151755,-1.0076773694436427,0.05979324390376013,0.95,percentile,500,270,True
roi,1,12,6,2,0.06,21.66,0.3654884556854862,0.39858152286291876,0.033093067177432545,0.1987702779109379,0.03819778337334052,0.7799310237529811,0.95,percentile,500,270,True
roi,1,1,1,1,0.07,22.27,-0.43858453302763845,-0.3934410991280906,0.045143433899547836,0.39544154562358375,-1.1413037498101495,0.3752313349219568,0.95,percentile,500,271,True
roi,1,2,2,1,0.07,22.27,0.6766712725843173,0.6578769596336278,-0.01879431295068945,0.3518018155404489,-0.06515482793415783,1.3327952766646802,0.95,percentile,500,271,True
roi,1,3,3,1,0.07,22.27,-0.29309917916242184,-0.2961311606940652,-0.0030319815316433574,0.28858790579655363,-0.8090527825750193,0.24905794672659004,0.95,percentile,500,271,True
roi,1,4,4,1,0.07,22.27,-0.15740765174427365,-0.14850247849213025,0.008905173252143406,0.2816085735024869,-0.6945651851955329,0.4247737490345987,0.95,percentile,500,271,True
roi,1,5,5,1,0.07,22.27,0.22764538603177645,0.19015183076057643,-0.03749355527120002,0.2129561344340601,-0.25288570277726646,0.579101188778424,0.95,percentile,500,271,True
roi,1,6,6,1,0.07,22.27,0.13177433768355346,0.19258562124130998,0.06081128355775653,0.18293212607089188,-0.17089694984978981,0.5596445489343084,0.95,percentile,500,271,True
roi,1,7,1,2,0.07,22.27,-0.07536127626003458,-0.010061466569523893,0.06529980969051069,0.27944106699382937,-0.5714519018180029,0.5104460331587188,0.95,percentile,500,271,True
roi,1,8,2,2,0.07,22.27,0.11375155999704993,0.06067026162147644,-0.05308129837557349,0.28758144444289263,-0.4953955717376071,0.5799088551202443,0.95,percentile,500,271,True
